,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
48,00:07.3,0.398925781,0.646484375,0.213867188,-55.05371094,-15.25878906,-108.8256836
49,00:07.3,0.359863281,0.634277344,0.265869141,-64.88037109,-11.10839844,-116.1499023
50,00:07.7,0.304443359,0.594970703,0.307617188,-73.05908203,-8.911132813,-118.8354492
51,00:07.7,0.243652344,0.544433594,0.346923828,-78.79638672,-11.59667969,-120.7275391
52,00:07.7,0.203857422,0.510742188,0.408935547,-82.03125,-18.92089844,-122.4365234
53,00:07.7,0.203857422,0.481445313,0.504882813,-85.08300781,-28.93066406,-123.9624023
54,00:07.7,0.184082031,0.43359375,0.528564453,-90.20996094,-41.07666016,-124.7558594
55,00:07.7,0.125244141,0.428955078,0.447509766,-92.83447266,-57.43408203,-126.5869141
56,00:07.7,0.0703125,0.518554688,0.385253906,-89.96582031,-80.32226563,-131.4697266
57,00:07.7,0.034667969,0.654541016,0.457519531,-87.70751953,-109.8632813,-136.4746094
58,00:07.7,0.009033203,0.701416016,0.603759766,-93.56689453,-135.9863281,-135.4370117
59,00:07.7,-0.013671875,0.629638672,0.680419922,-104.0039063,-149.7192383,-127.8686523
60,00:07.7,-0.039794922,0.536132813,0.671386719,-109.2529297,-154.9072266,-117.1875
61,00:07.7,-0.046386719,0.507568359,0.663818359,-106.3842773,-158.2641602,-105.7128906
62,00:07.7,-0.020996094,0.542236328,0.702880859,-100.402832,-160.2172852,-94.90966797
63,00:07.8,-0.0078125,0.570556641,0.778808594,-98.02246094,-158.9355469,-83.92333984
64,00:07.8,-0.022216797,0.546386719,0.843017578,-99.54833984,-152.7099609,-72.38769531
65,00:07.8,-0.077392578,0.516601563,0.841796875,-100.4638672,-143.9819336,-61.76757813
66,00:07.8,-0.142089844,0.560546875,0.787841797,-95.76416016,-138.0004883,-55.6640625
67,00:07.8,-0.159179688,0.658447266,0.755859375,-90.08789063,-140.5639648,-54.32128906
68,00:07.8,-0.127197266,0.700683594,0.779052734,-91.97998047,-150.5126953,-49.43847656
69,00:07.8,-0.079345703,0.634765625,0.838623047,-101.6845703,-160.4614258,-37.53662109
